origin.name,origin.code,gender.name,gender.code,dest.name,dest.code,1960,1970,1980,1990,2000,origin.lat,origin.lon,dest.lat,dest.lon
France,FRA,Female,FEM,Monaco,MCO,3577,3850,4168,4621,5021,46.227638,2.213749,43.750298,7.412841
France,FRA,Female,FEM,Romania,ROU,3886,3939,3649,3062,5052,46.227638,2.213749,45.943161,24.96676
France,FRA,Female,FEM,San Marino,SMR,4241,4665,5156,5927,6931,46.227638,2.213749,43.94236,12.457777
France,FRA,Female,FEM,Uganda,UGA,3170,3367,4113,4903,6137,46.227638,2.213749,1.373333,32.290275
French Guiana,GUF,Female,FEM,Sudan,SDN,3519,3854,4914,5615,6990,3.933889,-53.125782,12.862807,30.217636
French Guiana,GUF,Female,FEM,Trinidad and Tobago,TTO,3597,3707,4790,4840,3511,3.933889,-53.125782,10.691803,-61.222503
Gabon,GAB,Female,FEM,Belgium,BEL,3020,3366,4440,3702,4952,-0.803689,11.609444,50.503887,4.469936
Georgia,GEO,Female,FEM,Canada,CAN,3311,3350,3439,4018,5022,42.315407,43.356892,56.130366,-106.346771
Georgia,GEO,Female,FEM,Indonesia,IDN,4803,3854,4439,5513,5643,42.315407,43.356892,-0.789275,113.921327
Georgia,GEO,Female,FEM,Zimbabwe,ZWE,3020,4998,5681,5969,6799,42.315407,43.356892,-19.015438,29.154857
Germany,DEU,Female,FEM,Australia,AUS,3674,4377,4655,5269,6010,51.165691,10.451526,-25.274398,133.775136
Germany,DEU,Female,FEM,Bermuda,BMU,4011,4133,5682,6872,7465,51.165691,10.451526,32.321384,-64.75737
Germany,DEU,Female,FEM,Cape Verde,CPV,3020,3366,4439,5513,6799,51.165691,10.451526,16.002082,-24.013197
Germany,DEU,Female,FEM,Chile,CHL,3678,3377,3135,3113,3451,51.165691,10.451526,-35.675147,-71.542969
Germany,DEU,Female,FEM,Cuba,CUB,4242,4372,5235,5970,7948,51.165691,10.451526,21.521757,-77.781167
Germany,DEU,Female,FEM,Iceland,ISL,3182,3891,4488,4975,6797,51.165691,10.451526,64.963051,-19.020835
Germany,DEU,Female,FEM,Liechtenstein,LIE,3287,4396,3893,4565,5974,51.165691,10.451526,47.166,9.555373
Germany,DEU,Female,FEM,Luxembourg,LUX,4915,5054,5664,6150,7101,51.165691,10.451526,49.815273,6.129583
Germany,DEU,Female,FEM,Netherlands Antilles,ANT,3519,3854,4439,5969,5497,51.165691,10.451526,12.226079,-69.060087
Germany,DEU,Female,FEM,Senegal,SEN,4011,3298,4052,6762,7780,51.165691,10.451526,14.497401,-14.452362
Germany,DEU,Female,FEM,Tanzania,TZA,3855,4130,5947,6395,4846,51.165691,10.451526,-6.369028,34.888822
Germany,DEU,Female,FEM,United States,USA,3799,3872,5311,6046,6912,51.165691,10.451526,37.09024,-95.712891
Ghana,GHA,Female,FEM,Hungary,HUN,4241,3707,4113,4181,4683,7.946527,-1.023194,47.162494,19.503304
Greece,GRC,Female,FEM,Bulgaria,BGR,4049,4565,5275,5893,4062,39.074208,21.824312,42.733883,25.48583
Greece,GRC,Female,FEM,Czech Republic,CZE,4366,5060,6035,5501,7675,39.074208,21.824312,49.817492,15.472962
Greece,GRC,Female,FEM,Ethiopia,ETH,3904,4290,5164,6105,7082,39.074208,21.824312,9.145,40.489673
Greece,GRC,Female,FEM,Qatar,QAT,4576,4998,4902,3812,7469,39.074208,21.824312,25.354826,51.183884
Greece,GRC,Female,FEM,Rwanda,RWA,4963,4340,3332,6067,7179,39.074208,21.824312,-1.940278,29.873888
Greece,GRC,Female,FEM,Switzerland,CHE,3063,3933,5259,4763,3863,39.074208,21.824312,46.818188,8.227512
Greece,GRC,Female,FEM,Tanzania,TZA,4803,5281,5995,6761,6287,39.074208,21.824312,-6.369028,34.888822
Greece,GRC,Female,FEM,Togo,TGO,3376,4548,5276,6067,6990,39.074208,21.824312,8.619543,0.824782
Greenland,GRL,Female,FEM,France,FRA,3508,3899,3982,4026,7618,71.706936,-42.604303,46.227638,2.213749
Grenada,GRD,Female,FEM,Barbados,BRB,3950,3642,3489,4095,5217,12.262776,-61.604171,13.193887,-59.543198
Guadeloupe,GLP,Female,FEM,Sudan,SDN,4241,4665,5995,3790,4952,16.995971,-62.067641,12.862807,30.217636
Guatemala,GTM,Female,FEM,Brazil,BRA,4071,4514,5235,4026,5041,15.783471,-90.230759,-14.235004,-51.92528
Guinea,GIN,Female,FEM,Belgium,BEL,4538,5281,3236,5840,7465,9.945587,-9.696645,50.503887,4.469936
Guinea,GIN,Female,FEM,Burundi,BDI,3903,3854,3856,4250,4858,9.945587,-9.696645,-3.373056,29.918886
Guinea,GIN,Female,FEM,Cameroon,CMR,3525,4165,4185,6394,6799,9.945587,-9.696645,7.369722,12.354722
Guinea,GIN,Female,FEM,Italy,ITA,3170,4484,3237,4766,5524,9.945587,-9.696645,41.87194,12.56738
Guinea-Bissau,GNB,Female,FEM,Cameroon,CMR,3258,3888,3897,5969,6287,11.803749,-15.180413,7.369722,12.354722
Guinea-Bissau,GNB,Female,FEM,Mali,MLI,3831,4133,4695,5141,5643,11.803749,-15.180413,17.570692,-3.996166
Guyana,GUY,Female,FEM,Guatemala,GTM,3020,5281,4914,4966,3868,4.860416,-58.93018,15.783471,-90.230759
Haiti,HTI,Female,FEM,Trinidad and Tobago,TTO,4857,4300,4223,3650,5473,18.971187,-72.285215,10.691803,-61.222503
