eventid,iyear,imonth,iday,country_txt,region_txt,provstate,city,latitude,longitude,nkill
2.02E+11,2017,1,27,Libya,Middle East & North Africa,Tripoli,Tripoli,32.867867,13.189067,0
2.02E+11,2017,1,30,Libya,Middle East & North Africa,Tripoli,Tripoli,32.867867,13.189067,0
2.02E+11,2017,2,5,Libya,Middle East & North Africa,Tripoli,Tripoli,32.867867,13.189067,0
2.02E+11,2017,2,20,Libya,Middle East & North Africa,Tripoli,Tripoli,32.867867,13.189067,0
2.02E+11,2017,3,6,Libya,Middle East & North Africa,Tripoli,Tripoli,32.867867,13.189067,2
2.02E+11,2017,3,8,Libya,Middle East & North Africa,Tripoli,Tripoli,32.867867,13.189067,-99
2.02E+11,2017,3,14,Libya,Middle East & North Africa,Tripoli,Tripoli,32.867867,13.189067,0
2.02E+11,2017,3,17,Libya,Middle East & North Africa,Tripoli,Tripoli,32.867867,13.189067,0
2.02E+11,2017,3,28,Libya,Middle East & North Africa,Tripoli,Tripoli,32.867867,13.189067,1
2.02E+11,2017,4,10,Libya,Middle East & North Africa,Tripoli,Tripoli,32.867867,13.189067,0
2.02E+11,2017,4,11,Libya,Middle East & North Africa,Tripoli,Tripoli,32.867867,13.189067,-99
2.02E+11,2017,4,20,Libya,Middle East & North Africa,Tripoli,Tripoli,32.867867,13.189067,0
2.02E+11,2017,5,11,Libya,Middle East & North Africa,Tripoli,Tripoli,32.867867,13.189067,0
2.02E+11,2017,5,17,Libya,Middle East & North Africa,Tripoli,Tripoli,32.867867,13.189067,0
2.02E+11,2017,5,23,Libya,Middle East & North Africa,Tripoli,Tripoli,32.867867,13.189067,-99
2.02E+11,2017,7,21,Libya,Middle East & North Africa,Tripoli,Tripoli,32.867867,13.189067,0
2.02E+11,2017,9,8,Libya,Middle East & North Africa,Tripoli,Tripoli,32.867867,13.189067,-99
2.02E+11,2017,10,16,Libya,Middle East & North Africa,Tripoli,Tripoli,32.867867,13.189067,1
2.02E+11,2017,10,20,Libya,Middle East & North Africa,Tripoli,Tripoli,32.867867,13.189067,0
2.02E+11,2017,11,28,Libya,Middle East & North Africa,Tripoli,Tripoli,32.867867,13.189067,0
2.02E+11,2017,8,24,Nigeria,Sub-Saharan Africa,Borno,Kijimatari,12.943761,13.179863,7
2.02E+11,2017,8,24,Nigeria,Sub-Saharan Africa,Borno,Mallam Moduri,12.943352,13.179094,5
2.02E+11,2017,4,6,Nigeria,Sub-Saharan Africa,Borno,Wajirko,12.12052,13.174035,0
2.02E+11,2017,3,28,Nigeria,Sub-Saharan Africa,Borno,Akalli,11.571121,13.161911,-99
2.02E+11,2017,3,28,Nigeria,Sub-Saharan Africa,Borno,Arribbari,11.571121,13.161911,-99
2.02E+11,2017,11,15,Nigeria,Sub-Saharan Africa,Borno,Muna Gari,11.53955,13.155654,5
2.02E+11,2017,11,15,Nigeria,Sub-Saharan Africa,Borno,Muna Gari,11.53955,13.155654,5
2.02E+11,2017,11,15,Nigeria,Sub-Saharan Africa,Borno,Muna Gari,11.53955,13.155654,5
2.02E+11,2017,3,28,Nigeria,Sub-Saharan Africa,Borno,Mittiri,11.582737,13.151372,-99
2.02E+11,2017,1,8,Nigeria,Sub-Saharan Africa,Borno,Garki Muna,11.831098,13.150967,4
2.02E+11,2017,3,15,Nigeria,Sub-Saharan Africa,Borno,Usmanti,11.831098,13.150967,6
2.02E+11,2017,4,5,Nigeria,Sub-Saharan Africa,Borno,Abbati,11.831098,13.150967,7
2.02E+11,2017,4,26,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.831098,13.150967,1
