origin.name,origin.code,gender.name,gender.code,dest.name,dest.code,2000,origin.lat,origin.lon,dest.lat,dest.lon
Morocco,MAR,Total,TOT,Tanzania,TZA,7658,31.791702,-7.09262,-6.369028,34.888822
Mozambique,MOZ,Total,TOT,Colombia,COL,7658,-18.665695,35.529562,4.570868,-74.297333
Mozambique,MOZ,Total,TOT,Hungary,HUN,7658,-18.665695,35.529562,47.162494,19.503304
Mozambique,MOZ,Total,TOT,Zimbabwe,ZWE,7853,-18.665695,35.529562,-19.015438,29.154857
Namibia,NAM,Total,TOT,France,FRA,7948,-22.95764,18.49041,46.227638,2.213749
Namibia,NAM,Total,TOT,Seychelles,SYC,7658,-22.95764,18.49041,-4.679574,55.491977
Namibia,NAM,Total,TOT,Somalia,SOM,7658,-22.95764,18.49041,5.152149,46.199616
Nepal,NPL,Total,TOT,Aruba,ABW,7658,28.394857,84.124008,12.52111,-69.968338
Nepal,NPL,Total,TOT,Belgium,BEL,7658,28.394857,84.124008,50.503887,4.469936
Nepal,NPL,Total,TOT,Chile,CHL,7658,28.394857,84.124008,-35.675147,-71.542969
Nepal,NPL,Total,TOT,Finland,FIN,7780,28.394857,84.124008,61.92411,25.748151
Nepal,NPL,Total,TOT,Kenya,KEN,7658,28.394857,84.124008,-0.023559,37.906193
Nepal,NPL,Total,TOT,Kuwait,KWT,7775,28.394857,84.124008,29.31166,47.481766
Nepal,NPL,Total,TOT,Sudan,SDN,7695,28.394857,84.124008,12.862807,30.217636
Netherlands,NLD,Total,TOT,Belgium,BEL,7748,52.132633,5.291266,50.503887,4.469936
Netherlands,NLD,Total,TOT,Italy,ITA,7968,52.132633,5.291266,41.87194,12.56738
Netherlands,NLD,Total,TOT,Liberia,LBR,7659,52.132633,5.291266,6.428055,-9.429499
Netherlands,NLD,Total,TOT,Niger,NER,7814,52.132633,5.291266,17.607789,8.081666
Netherlands,NLD,Total,TOT,Qatar,QAT,7957,52.132633,5.291266,25.354826,51.183884
Netherlands Antilles,ANT,Total,TOT,Namibia,NAM,7695,12.226079,-69.060087,-22.95764,18.49041
Netherlands Antilles,ANT,Total,TOT,Turkey,TUR,7658,12.226079,-69.060087,38.963745,35.243322
